Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3
Info,training points,features,training points,features,training points,features
1,2121,21,2331,20,2548,21
2,2114,23,2324,26,2541,16
3,2107,20,2317,17,2534,20
4,2100,24,2310,24,2527,24
5,2093,18,2303,20,2520,25
6,2086,21,2296,21,2513,20
7,2079,22,2289,20,2506,19
8,2072,18,2282,21,2499,21
9,2065,16,2275,20,2492,17
10,2058,16,2268,23,2485,23
11,2051,16,2261,21,2478,22
12,2044,16,2254,20,2471,21
13,2037,16,2247,23,2464,22
14,2030,16,2240,17,2457,25
15,2023,16,2233,21,2450,22
16,2016,16,2226,24,2443,21
17,2009,16,2219,26,2436,18
18,2002,16,2212,16,2429,18
19,1995,16,2205,16,2422,21
20,1988,16,2198,16,2415,25
21,1981,16,2191,16,2408,23
22,1974,16,2184,16,2401,24
23,1967,16,2177,16,2394,19
24,1960,16,2170,16,2387,17
25,1953,16,2163,16,2380,21
26,1946,16,2156,16,2373,19
27,1939,16,2149,16,2366,17
28,1932,16,2142,16,2359,17
29,1925,16,2135,16,2352,23
30,1918,16,2128,16,2345,22
