Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4
Info,training points,features,training points,features,training points,features,training points,features
1,1641,19,1734,19,1824,21,1917,19
2,1638,20,1731,20,1821,25,1914,19
3,1635,18,1728,19,1818,19,1911,19
4,1632,18,1725,18,1815,20,1908,25
5,1629,18,1722,18,1812,19,1905,18
6,1626,19,1719,25,1809,26,1902,18
7,1623,24,1716,25,1806,20,1899,18
8,1620,18,1713,18,1803,25,1896,19
9,1617,26,1710,25,1800,26,1893,18
10,1614,24,1707,25,1797,26,1890,19
11,1611,25,1704,25,1794,25,1887,19
12,1608,24,1701,25,1791,25,1884,19
13,1605,18,1698,26,1788,25,1881,19
14,1602,24,1695,25,1785,25,1878,19
15,1599,19,1692,18,1782,25,1875,19
16,1596,24,1689,18,1779,18,1872,18
17,1593,24,1686,18,1776,18,1869,18
18,1590,26,1683,26,1773,18,1866,18
19,1587,18,1680,18,1770,18,1863,18
20,1584,18,1677,18,1767,18,1860,18
21,1581,18,1674,18,1764,18,1857,18
22,1578,18,1671,18,1761,18,1854,18
23,1575,18,1668,18,1758,18,1851,18
24,1572,18,1665,18,1755,18,1848,18
25,1569,18,1662,18,1752,18,1845,18
26,1566,18,1659,18,1749,18,1842,18
27,1563,25,1656,18,1746,18,1839,18
28,1560,18,1653,18,1743,18,1836,18
29,1557,18,1650,18,1740,18,1833,18
30,1554,18,1647,18,1737,18,1830,18
